Name,JM11502_CT_1,JM18195_CT_2,JM14056_3D_2,JM4215_CT_3,JM4957_CT_1,JM19635_CT_3,JM10699_CT_2,JM4957_3D_3,JM12387_CT_2,JM18715_CT_3,JM12660_CT_2,JM12708_3D_3,JM4042_CT_3,JM12695_3D_1,JM4215_CT_2,JM18715_3D_2,JM12690_CT_3,JM19635_CT_1,JM3771_CT_3,JM12708_3D_2,JM10699_3D_1,JM15148_CT_3,JM14056_CT_3,JM11350_CT_2,JM15148_3D_2,JM11502_3D_1,JM13835_3D_3,JM3771_3D_2,JM2133_3D_1,JM12695_3D_3,JM19635_3D_2,JM12660_CT_3,JM15148_3D_3,JM4215_3D_2,JM12660_3D_3,JM12660_3D_1,JM2133_3D_2,JM12690_3D_2,JM12708_CT_3,JM11502_3D_3,JM12387_3D_1,JM14056_3D_3,JM14056_CT_2,JM10699_CT_3,JM11350_CT_3,JM12695_CT_1,JM4957_CT_3,JM4042_3D_1,JM12690_3D_1,JM11350_3D_1,JM12387_3D_2,JM11350_3D_2,JM18715_3D_1,JM12690_3D_3,JM12708_3D_1,JM3771_CT_2,JM4042_3D_2,JM11350_CT_1,JM13835_CT_1,JM4957_3D_2,JM4215_CT_1,JM18715_3D_3,JM12387_3D_3,JM18715_CT_2,JM12663_CT_3,JM18195_3D_3,JM4215_3D_3,JM19635_3D_1,JM12690_CT_2,JM14056_3D_1,JM11502_CT_2,JM12663_3D_3,JM18195_3D_2,JM12663_3D_2,JM12695_3D_2,JM10699_3D_2,JM4957_CT_2,JM3771_3D_1,JM15148_CT_1,JM4957_3D_1,JM2133_CT_3,JM15148_3D_1,JM2133_CT_2,JM11502_CT_3,JM18195_CT_3,JM10699_3D_3,JM12663_CT_2,JM12387_CT_3,JM13835_3D_1,JM12660_3D_2,JM19635_3D_3,JM10699_CT_1,JM4042_CT_1,JM12663_CT_1,JM12690_CT_1,JM14056_CT_1,JM12708_CT_2,JM12708_CT_1,JM18195_CT_1,JM2133_CT_1,JM12660_CT_1,JM15148_CT_2,JM12663_3D_1,JM13835_CT_2,JM13835_CT_3,JM19635_CT_2,JM4215_3D_1,JM12695_CT_3,JM3771_CT_1,JM13835_3D_2,JM12695_CT_2,JM2133_3D_3,JM4042_3D_3,JM18715_CT_1,JM4042_CT_2,JM12387_CT_1,JM11502_3D_2,JM11350_3D_3,JM3771_3D_3,JM18195_3D_1
X Zygo ant edge top DCUR L 4,7.690510559,10.32968445,-3.655521393,6.967651367,8.716586304,10.20061493,9.810689545,-9.666983795,9.931860352,11.22485733,10.03035583,-12.80791473,3.808715439,2.633811951,6.971574402,-4.12603035,6.857106018,10.20706253,10.87510757,-12.73924026,17.15764771,8.703360748,8.599336243,6.890090942,-5.146994781,0.465779686,3.071240616,-5.121855927,-1.985011101,2.71049614,6.852320099,10.07626648,-5.171650314,-6.255697632,-12.64683685,-12.55983963,-1.941030502,-12.33563004,9.796167755,0.464018774,-3.439742661,-3.674436951,8.563690948,9.788253784,6.858339691,7.414787292,8.690285492,6.243284225,-12.35711899,-13.62789459,-3.658972168,-13.68292084,-4.368335724,-12.32584686,-12.71976395,10.86079636,6.233482361,6.866958618,9.355519104,-9.497055054,7.002484894,-4.153395844,-3.712345886,11.19403687,12.01868439,-1.261666965,-6.244149017,7.171628571,6.957263184,-3.732284546,7.6717659,-11.56554565,-1.196169662,-11.52719574,2.707201004,17.29405212,8.718430328,-5.136619949,8.68801651,-9.573097992,9.043202209,-5.196610641,9.087597656,7.711183167,10.36482162,17.29785767,12.0003212,9.938231659,2.892502785,-12.70229034,7.06792984,9.750354004,3.800857162,12.03332138,6.815401459,8.608657837,9.754889679,9.777534485,10.38985519,9.080615997,10.07855682,8.752272034,-11.54663467,9.320603943,9.361341858,10.2025177,-6.318516159,7.412744141,10.8622963,2.896296883,7.421964264,-1.982712936,6.270563889,11.20398331,3.816358185,9.951842499,0.554625034,-13.68177948,-5.146686172,-1.309792328
Y Zygo ant edge top DCUR L 4,10.23410492,10.43726654,-15.35656891,18.87397614,7.230246735,8.116342163,10.24219437,-9.078805542,10.51820374,10.4659317,9.459841919,-7.083971405,8.8402565,-16.21697235,18.89183655,-7.889435577,6.11784935,8.150388336,10.82878799,-7.049812317,-3.373407364,8.425476837,6.112556458,10.15830841,-14.94550171,-21.2350174,-10.03241882,-14.79064026,-11.04618835,-16.07840576,-17.43128357,9.481942749,-14.95368652,-19.16839447,-11.32931213,-11.20296783,-11.00998611,-17.89990082,8.421762085,-21.22997894,-11.85848312,-15.33313293,6.094986725,10.2064476,10.14001999,20.54645233,7.217757416,-15.03822174,-17.92068939,-10.31965561,-11.94363708,-10.25778503,-7.897338867,-17.80431213,-6.992250061,10.77931976,-14.96576996,10.15600891,9.963806152,-9.138658905,18.88287048,-7.902863312,-12.02953033,10.46740952,8.24527359,-3.497788239,-19.21560669,-17.36384735,6.194539261,-15.35109863,10.18064651,-10.34632568,-3.471641922,-10.38239822,-16.12439575,-3.410404587,7.239435577,-14.87103271,8.360684967,-9.119689178,10.49665451,-14.99998932,10.57010498,10.24141159,10.48833923,-3.425387955,8.220005798,10.52870255,-9.993935394,-11.39468231,-17.41235962,10.17615433,8.837818909,8.249143982,6.101964951,6.075606918,8.371607208,8.414776611,10.5189682,10.57145996,9.487992859,8.464044189,-10.38214188,9.931886292,9.98775177,8.127846527,-19.2869278,20.54367828,10.78709412,-9.96235733,20.52893829,-11.06886673,-15.04641266,10.41993484,8.858126831,10.5543808,-21.27723236,-10.26459351,-14.86340027,-3.49717598
Z Zygo ant edge top DCUR L 4,8.917611694,9.498745728,-19.03033752,9.941520691,6.326664734,8.117840576,8.929798889,-28.74293518,7.995430756,10.01875229,9.647768402,-30.83865967,7.622015381,-11.10591736,9.868846893,-24.04539642,9.718621063,8.130783844,7.708323669,-30.85664368,-11.52580795,10.7060112,5.305506516,12.88786316,-17.19284363,-15.48852844,-22.53250885,-19.01196747,-34.38368835,-11.11493988,-18.89929199,9.673577118,-17.13931122,-20.43054352,-27.32348328,-27.41354065,-34.32328796,-29.23598633,7.199417877,-15.47390137,-23.12952728,-18.94609375,5.293883896,8.906404877,12.87949982,6.579080963,6.507577515,-17.11485443,-29.18682251,-29.46693726,-23.08418121,-29.46566467,-24.12813416,-29.24190063,-30.81887207,7.754761505,-17.13997803,12.91170959,10.25288925,-28.83458862,9.987825775,-24.06855316,-23.07859955,10.08368073,8.734450531,-30.23673706,-20.41673889,-18.93670502,9.638909912,-18.98279114,8.872061157,-25.7771759,-30.18218079,-25.846875,-11.12671967,-11.49864502,6.394516373,-19.01943207,10.52989349,-28.75693359,11.21647186,-17.06985931,11.24363403,8.902297974,9.511503601,-11.52630386,8.754429626,8.017927551,-22.56006012,-27.28838501,-19.03221588,8.930011749,7.620581055,8.79864502,9.729795837,5.406346512,7.228907013,7.188528442,9.546494293,11.20147629,9.699585724,10.66358643,-25.82980652,10.29020004,10.33029327,8.048252869,-20.29618073,6.59081192,7.754660034,-22.51320801,6.632901764,-34.37460632,-17.08613892,10.03697968,7.633974457,8.027455139,-15.49898834,-29.4630188,-19.04073792,-30.25486145
X Zygo ant edge top DCUR L 3,7.423321533,10.1375618,-4.190646362,7.30609436,8.479827118,9.857161713,9.529551697,-10.12399826,9.675910187,10.99135742,9.773034668,-13.35991058,3.632991409,2.297563171,7.296375275,-4.670346069,6.494319916,9.888426971,10.74182129,-13.19671783,17.54733429,8.388298798,8.230664063,6.592116547,-5.369372559,0.136535835,2.601654053,-5.316977692,-2.395129967,2.423960495,7.368067169,9.793827057,-5.368006134,-6.441217804,-13.15076599,-13.02101288,-2.41645031,-12.51263809,9.467010498,0.098474663,-4.030888367,-4.282251358,8.237335968,9.523207855,6.562342834,7.796459961,8.459732056,6.207712173,-12.57679977,-14.08510284,-4.159724045,-14.10405121,-4.866691971,-12.47467346,-13.23501129,10.73862991,6.233279037,6.589060974,9.024333191,-10.11103439,7.340019226,-4.73548851,-4.15288887,10.99839935,11.78365479,-1.72975235,-6.422785187,7.573232269,6.573705292,-4.267134094,7.408198547,-11.96750946,-1.685675812,-11.91637421,2.398450089,17.62021942,8.458921814,-5.372889328,8.367980194,-10.07198868,8.826215363,-5.395801544,8.849927521,7.435636139,10.12392807,17.61762695,11.80994873,9.702101135,2.43564167,-13.16860046,7.537698364,9.501295471,3.628077698,11.82416916,6.436003113,8.252327728,9.390956116,9.472158051,10.16877289,8.842851257,9.794329834,8.452253723,-11.9433197,8.999212646,9.038445282,9.878796387,-6.536037445,7.784396362,10.74227219,2.361007881,7.802168274,-2.374432755,6.25889473,10.98592072,3.64990654,9.709771729,0.119406009,-14.14885406,-5.332052231,-1.762861252
Y Zygo ant edge top DCUR L 3,9.782397461,9.957711792,-15.33209686,19.27640076,6.810281372,7.700466919,9.743810272,-9.300699615,9.941146088,9.865396881,8.997212982,-6.837507629,8.422252655,-16.54327393,19.2689621,-7.849029541,5.781520462,7.710372925,10.35370483,-6.851318359,-3.49985466,7.973504639,5.748728943,9.802109528,-15.3766861,-21.1500061,-10.02995453,-15.20641479,-10.92133102,-16.45294189,-17.35196838,9.002313232,-15.38658905,-19.5348053,-11.26057816,-11.20364685,-10.84788361,-18.31669159,7.903744507,-21.11373596,-11.81517563,-15.27897949,5.745074081,9.714149475,9.759120178,20.89408264,6.747618866,-15.42794647,-18.37749023,-10.27699432,-11.81382141,-10.25249863,-7.773978424,-18.24661255,-6.844857788,10.27359085,-15.32792664,9.81611557,9.616768646,-9.322652435,19.33630371,-7.834429169,-11.94039536,9.916719055,7.801636505,-3.389540482,-19.53234711,-17.33613129,5.896069717,-15.2899765,9.716880035,-10.3944046,-3.404888916,-10.4455864,-16.45413818,-3.556753922,6.806369019,-15.34235077,8.009567261,-9.297671509,10.10172577,-15.40640717,10.14926758,9.79468689,9.948428345,-3.560427475,7.802584076,10.00624084,-9.945882416,-11.2751709,-17.38055725,9.676293945,8.423449707,7.871961212,5.705436707,5.669197464,7.83416748,7.970175171,10.09176407,10.12701187,8.96775589,8.03295517,-10.44637756,9.576899719,9.634634399,7.706712341,-19.59302826,20.90467224,10.2612236,-9.938818359,20.91492157,-10.87418747,-15.42917786,9.835160828,8.443599701,10.03478394,-21.27939758,-10.33088837,-15.29423981,-3.354578018
Z Zygo ant edge top DCUR L 3,8.896694183,9.584470367,-19.02770996,9.850826263,6.259991455,8.082157135,8.962846375,-28.54896851,8.047041321,10.09658127,9.738830566,-30.6245636,7.367222595,-10.88217545,9.76676178,-24.34832306,9.617332458,8.090538788,7.716618347,-30.62276306,-11.10389023,10.59093094,5.381067657,12.90886383,-16.88052063,-15.17684631,-22.75940247,-18.99319,-34.6533783,-10.94014893,-18.95005646,9.754710388,-16.85513458,-20.00899353,-27.09355774,-27.04407349,-34.61463013,-29.05569763,7.172130585,-15.18282928,-23.01711731,-18.99064178,5.392681122,8.935464478,12.91793518,6.552225494,6.345319366,-16.75062103,-29.06089783,-29.25974731,-23.02415466,-29.22287598,-24.40176086,-29.12820129,-30.61684875,7.743538666,-16.81179504,12.93670197,10.25703888,-28.5721344,9.837548828,-24.39039764,-23.04143524,10.10375366,8.68108139,-30.62410278,-20.02931366,-18.9052002,9.616119385,-18.99788666,8.869015503,-25.55838776,-30.56529541,-25.61954041,-10.95436325,-11.10689621,6.321741486,-18.91025238,10.51091995,-28.57156677,11.18548965,-16.88184967,11.26292114,8.904049683,9.537779999,-11.11362686,8.708313751,8.084560394,-22.71672668,-27.09394531,-19.00578461,8.960188293,7.370227814,8.716647339,9.642650604,5.479979324,7.123298645,7.170886993,9.544972992,11.19480362,9.753578949,10.59095764,-25.61514587,10.24522476,10.32621384,8.08102951,-19.88714447,6.584706116,7.76893158,-22.71128235,6.565857697,-34.57350769,-16.75510406,10.0861412,7.362675476,8.06998291,-15.32959747,-29.24633484,-18.93683472,-30.60667725
X Zygo ant edge top DCUR L 2,7.294250488,10.04341431,-4.842232513,7.519552612,8.384474945,9.517193604,9.388465118,-10.72901764,9.592550659,10.936483,9.600347137,-13.84873962,3.58152771,1.820004463,7.510910797,-5.250003433,6.206847,9.507744598,10.76899796,-13.71197357,17.82814636,8.17057724,7.912361145,6.419264984,-5.68614006,-0.379911661,2.064131165,-5.607029343,-2.761741829,1.964152336,7.899985504,9.578025818,-5.692450333,-6.867655182,-13.74704895,-13.54958496,-2.755450821,-12.94057922,9.195333099,-0.430987024,-4.558875656,-4.838412476,7.925222778,9.388278198,6.401194763,8.134222412,8.382444763,6.034280014,-12.95080261,-14.60295868,-4.650262451,-14.61541443,-5.476193619,-12.83448792,-13.76076202,10.79241333,5.999159622,6.422907257,8.933521271,-10.63615417,7.514637756,-5.340130615,-4.639206696,10.93103867,11.70472794,-2.308068085,-6.857938385,8.005434418,6.274927902,-4.8769104,7.290231323,-12.5093605,-2.257387733,-12.45325928,1.960898399,17.84113922,8.357775116,-5.754911041,8.193461609,-10.7027359,8.760055542,-5.704797363,8.788562012,7.301319885,10.01245575,17.8488739,11.75257797,9.596931458,1.877969933,-13.77681427,8.038368225,9.378252411,3.583437347,11.76966705,6.176547241,7.918133545,9.144464874,9.22102356,10.03698807,8.834449005,9.583686829,8.230250549,-12.51414413,8.804216766,8.808454132,9.51995163,-6.990198517,8.123694611,10.79779205,1.791301537,8.129627991,-2.762946129,6.04062767,10.9269722,3.599746323,9.580092621,-0.347521663,-14.70428925,-5.687533569,-2.271162415
Y Zygo ant edge top DCUR L 2,9.146740723,9.39393158,-15.01039734,19.82726898,6.240822983,7.275849152,9.132106018,-9.154111481,9.234052277,9.160135651,8.365778351,-6.393101883,7.912943268,-16.78079987,19.81116638,-7.609677124,5.255154037,7.21858139,9.827304077,-6.484351349,-3.717622757,7.43191452,5.258639526,9.258882141,-15.73713226,-21.09723511,-9.875479126,-15.62718353,-10.52140961,-16.71810608,-17.25993042,8.356305695,-15.73946381,-19.72456055,-11.03457947,-10.96968994,-10.52638168,-18.60195923,7.395643616,-21.01094666,-11.4936203,-14.97471771,5.325297165,9.08664093,9.166673279,21.30462646,6.176375961,-15.7514267,-18.7689209,-10.08588409,-11.45535736,-10.09561005,-7.425338745,-18.66194153,-6.426674652,9.728048706,-15.67221527,9.301594543,9.026256561,-9.244190979,19.84004059,-7.533750916,-11.59340897,9.176464081,7.26048584,-3.024300575,-19.74733276,-17.2583252,5.438256073,-14.93914032,9.090158081,-10.23438721,-3.065407753,-10.34042053,-16.73042297,-3.731836319,6.281515121,-15.83801422,7.411884308,-9.232715607,9.521682739,-15.74676666,9.561444855,9.188895416,9.316506195,-3.741434097,7.284234619,9.324012756,-9.753554535,-10.96186829,-17.3076889,9.080025482,7.887129974,7.364994049,5.157279968,5.15785408,7.322960663,7.408431244,9.433474731,9.449688721,8.374232483,7.422699738,-10.33417587,8.992770386,9.03974762,7.281195831,-19.7857666,21.40114899,9.702416992,-9.690208435,21.39210663,-10.47659988,-15.80053253,9.146294403,7.921296692,9.372576904,-21.03217163,-10.17718964,-15.75543823,-3.065382767
Z Zygo ant edge top DCUR L 2,8.814299774,9.57312851,-19.07443542,9.631150818,6.078060913,7.844062805,8.874243927,-28.41021423,7.978582764,10.05251236,9.714414978,-30.50099487,7.128487396,-10.58839798,9.612065125,-24.52998199,9.364155579,7.857363129,7.637846375,-30.4881134,-10.55205688,10.3589859,5.308495712,12.85490723,-16.31176605,-14.96548462,-22.91273956,-18.81000366,-35.03900452,-10.63960114,-18.76291809,9.682619476,-16.35422516,-19.6165802,-26.9440033,-26.8790802,-35.02123718,-28.91487122,6.952913666,-14.99933319,-23.03015289,-19.01100311,5.320110703,8.87537384,12.8205368,6.277787781,6.045995712,-16.30562439,-28.81986389,-29.07657471,-23.07330017,-29.08422852,-24.65004883,-28.92467041,-30.47837524,7.641931152,-16.42309875,12.91789856,10.15619278,-28.35447693,9.596186066,-24.60955963,-23.08583679,10.03088226,8.419497681,-30.89464111,-19.65044708,-18.77756042,9.421227264,-19.00524292,8.764264679,-25.49267731,-30.84865112,-25.45484924,-10.56294174,-10.53639145,6.066334152,-18.68613281,10.40504074,-28.34804993,11.20148849,-16.44884033,11.27091522,8.810175323,9.484098053,-10.54880981,8.473791504,8.008002472,-22.90764008,-26.90552979,-18.90141754,8.858757782,7.118443298,8.528106689,9.387288666,5.311932755,6.891880798,6.963220978,9.53653183,11.28188019,9.679693604,10.49973526,-25.4434082,10.21760254,10.20197678,7.881451416,-19.56060028,6.377115631,7.634694672,-22.9370285,6.341571808,-34.87565613,-16.27897491,9.922148132,7.108869934,7.980617523,-15.01595306,-29.14588013,-18.72292023,-30.92558899
X Zygo ant edge top DCUR L 1,7.256345367,10.02691727,-5.27408371,7.617795563,8.401063538,9.352055359,9.353878021,-11.23768539,9.608468628,11.07377243,9.456067657,-14.15929565,3.712617874,1.443973064,7.597805023,-5.666194534,6.052496338,9.360217285,10.82406921,-14.07951965,17.93170624,8.034901428,7.705366516,6.340054321,-5.984300995,-0.84705801,1.668569183,-5.833297348,-3.02957077,1.526429939,8.247092438,9.416590881,-6.010869598,-7.285157776,-14.2259201,-13.96433258,-2.998933983,-13.38586578,8.967098999,-0.933359528,-4.909736633,-5.258559418,7.733835602,9.352238464,6.331037521,8.354373932,8.407381439,5.848491287,-13.30989227,-14.99871674,-4.997089386,-15.07020721,-5.917500305,-13.14428253,-14.0782135,10.8834877,5.895333099,6.333012009,8.893935394,-11.18684464,7.579392242,-5.778264618,-4.988423538,11.05218735,11.66318893,-2.707951546,-7.288585663,8.303730011,6.129369736,-5.308917236,7.256910706,-12.98120728,-2.618058395,-12.86767731,1.521857548,17.92593231,8.384848022,-6.044659805,8.027204132,-11.1838829,8.821380615,-5.991475296,8.836502838,7.260061646,10.01854172,17.93119659,11.71143951,9.60496521,1.542078304,-14.20876312,8.362640381,9.350330353,3.74375,11.72350769,6.024987793,7.6489151,8.955716705,8.920333862,10.0302536,8.91051178,9.450373077,8.090026855,-12.89772034,8.753312683,8.758067322,9.373862457,-7.389668274,8.356043243,10.88368607,1.41622467,8.352986145,-3.080884171,5.793744659,11.03457794,3.754567719,9.572418976,-0.87786684,-15.13121033,-5.952783585,-2.680354881
Y Zygo ant edge top DCUR L 1,8.623644257,8.848901367,-14.61410675,20.24566345,5.79137764,6.922264862,8.688252258,-8.889279175,8.705245972,8.545694733,7.855898285,-5.954644775,7.497580719,-16.86965332,20.25994568,-7.271257782,4.779437637,6.950991821,9.399596405,-6.043272018,-3.878017044,6.921163177,4.868292236,8.793878174,-15.91032257,-21.06891937,-9.607450867,-15.96183929,-10.08815308,-16.87108154,-17.164505,7.781019592,-15.91491241,-19.76290283,-10.72311783,-10.67912445,-10.15034103,-18.86649628,6.976279449,-20.93146362,-11.09154129,-14.61568604,4.965790176,8.588790894,8.616091156,21.63764343,5.745254898,-15.93455048,-19.06828918,-9.879149628,-11.08545914,-9.924743652,-7.003971863,-18.95375977,-6.013837433,9.226552582,-15.90647888,8.859268951,8.501527405,-8.990725708,20.24457855,-7.132906342,-11.14165268,8.584146118,6.791384888,-2.598853111,-19.84103241,-17.22488403,5.040692902,-14.56265564,8.557833862,-10.12021255,-2.712680244,-10.18841476,-16.86894379,-3.888942337,5.871903992,-16.22880402,6.950138855,-8.97893219,9.010614014,-15.93093567,9.056003571,8.673872375,8.724285126,-3.876037216,6.831669617,8.752656555,-9.407137299,-10.62782745,-17.29912415,8.590402222,7.464511108,6.976676941,4.732670593,4.746108246,6.840883636,7.036854553,8.840110779,8.891355896,7.866985321,6.901733398,-10.18511353,8.46558609,8.575891876,6.889811707,-19.7806839,21.81420135,9.205808258,-9.249751282,21.76796265,-10.01416168,-15.91119995,8.621780396,7.525500488,8.797238159,-20.89387054,-9.954262543,-16.13107147,-2.612825012
Z Zygo ant edge top DCUR L 1,8.634609985,9.424707031,-18.95496826,9.461228943,5.765671539,7.626599121,8.741761017,-28.19890747,7.795524597,9.855579376,9.602835846,-30.4502533,6.955193329,-10.19534607,9.3883255,-24.61421509,9.047525024,7.644212341,7.444850922,-30.43990784,-10.0806839,10.09124451,5.088195419,12.70151291,-15.80620575,-14.89053802,-23.00425873,-18.5799057,-35.33970337,-10.30134354,-18.54638824,9.554528809,-15.84134064,-19.35192719,-26.86169128,-26.75628967,-35.34739075,-28.70528564,6.629200745,-14.94720459,-23.07112579,-18.92976837,5.172140884,8.720760345,12.60957794,6.001320648,5.711241531,-15.92471008,-28.54414673,-28.98601379,-23.12797699,-29.02942505,-24.59141693,-28.6822113,-30.42817383,7.481731415,-16.01213226,12.78798904,9.961660004,-28.1596405,9.336700439,-24.68860474,-23.14235992,9.863471222,8.08377533,-31.05465393,-19.37820282,-18.59188843,9.199121857,-18.90832367,8.562187958,-25.15133667,-31.01394958,-25.21409607,-10.17690582,-10.01785202,5.772315216,-18.37736664,10.10628433,-28.14856262,11.14625931,-16.00361938,11.1913681,8.649171448,9.280625916,-10.09694519,8.184616089,7.804174042,-22.96681519,-26.79284668,-18.71816864,8.693621063,6.935543823,8.279843903,9.07960434,5.010290527,6.574742126,6.599578857,9.392433929,11.18390503,9.572559357,10.22800903,-25.21381226,9.976824188,10.02109528,7.664348602,-19.30206757,6.075429153,7.453216553,-23.04017487,6.048975372,-35.05554199,-15.78725739,9.652722168,6.915929413,7.774277496,-14.96763916,-29.06566162,-18.39102783,-31.07910156
X Zygo ant edge top DCUR 4,4.464387512,6.683259583,-5.651106644,10.3477951,5.214213562,6.290166473,6.266455841,-10.18155975,6.495449066,7.647608948,7.190071869,-13.79880829,1.810813522,3.671638107,10.34251328,-6.780166626,3.592224503,6.234049988,7.783475494,-13.85391541,19.86913757,5.692902756,5.340357208,3.728403091,-3.421996307,0.930056858,0.523072577,-3.516809464,-4.703444672,3.758059692,8.643548584,7.191160583,-3.463833618,-4.714496231,-12.82155304,-12.81845245,-4.711072922,-10.27550888,6.620734406,0.865361691,-5.682149887,-5.676750946,5.382904816,6.279830933,3.75001297,10.56387482,5.263496017,9.009243011,-10.22634583,-13.96014099,-5.702892685,-14.02453613,-6.721505737,-10.2580452,-13.7720932,7.757401276,9.073940277,3.734005737,5.687612534,-10.11593475,10.34033585,-6.718199921,-5.677942657,7.661122131,8.971831512,-4.072497559,-4.726823425,8.692978668,3.618610382,-5.671326065,4.481507492,-11.70475616,-4.051414871,-11.73291931,3.771618271,19.93404388,5.239131546,-3.570329285,5.704500198,-10.10401611,5.901582718,-3.558277512,5.945201111,4.514297104,6.718044281,19.91575623,8.95269928,6.54545517,0.537265396,-12.83156281,8.685361481,6.301555634,1.838555527,8.973879242,3.616044998,5.335493851,6.674150848,6.714125061,6.732284546,5.95894928,7.200347137,5.663783264,-11.68651123,5.710729599,5.648529434,6.25404129,-4.785261154,10.55389481,7.739778137,0.522070932,10.60485535,-4.699006653,9.120201111,7.721710205,1.840581894,6.466578674,0.867823792,-14.02631378,-3.532949448,-4.070466614
Y Zygo ant edge top DCUR 4,10.23022537,10.16809464,-17.66836548,18.14031067,6.839557648,8.742453003,10.2516571,-11.67298965,10.16177826,9.700463867,9.842086029,-8.095806885,9.375493622,-19.33651581,18.1148407,-10.39739685,7.034251404,8.727050018,9.800500488,-8.102529907,-1.152528095,8.944469452,6.578206635,10.57851181,-17.58040009,-19.54474487,-12.81481628,-17.41474609,-12.1642868,-19.38750916,-13.99264526,9.856710052,-17.56143188,-20.78886108,-12.1871933,-12.2559288,-12.16969452,-20.48110199,8.210256958,-19.55213318,-12.70442734,-17.62319641,6.5712883,10.30607376,10.55804062,19.54201355,6.885054016,-16.26532593,-20.46387024,-11.29519119,-12.61978378,-11.23769608,-10.33200607,-20.47179413,-8.100624847,9.786361694,-16.23973541,10.53988037,10.10759277,-11.65524292,18.12071533,-10.27974167,-12.70368195,9.687227631,7.836994934,-5.849312973,-20.76717682,-14.08439941,7.035649872,-17.57114716,10.17943039,-12.56578369,-5.899324036,-12.55278625,-19.38722229,-1.18962841,6.865431213,-17.41717224,8.921557617,-11.62229919,10.28139191,-17.52046661,10.33912964,10.12804108,10.15082626,-1.288577747,7.85605011,10.1365181,-12.70985413,-12.25782013,-14.06068726,10.2767807,9.360739899,7.826013184,7.033475494,6.569345093,8.171317291,8.137864685,10.10573578,10.31582642,9.811122894,8.879167175,-12.61744537,10.07830887,10.16701202,8.690653229,-20.77735443,19.54948883,9.799320984,-12.76498642,19.47705688,-12.21384277,-16.20454865,9.60572052,9.376739502,10.20719757,-19.65541077,-11.21123428,-17.40452271,-5.868964005
Z Zygo ant edge top DCUR 4,8.976481628,9.739369202,-17.80216217,8.992305756,6.330963135,8.062227631,9.016381836,-26.34602051,8.540519714,10.08340912,10.69656448,-27.38725281,4.929937363,-10.42975464,9.016973114,-24.64061279,9.860597992,8.053485107,8.502881622,-27.49406128,-10.89668808,10.8466629,7.249702454,12.13762054,-16.87037659,-12.71760254,-22.40562134,-20.33461914,-33.37351379,-10.41861877,-20.23066559,10.74353943,-16.86266174,-17.26218567,-24.23944855,-24.25019684,-33.36687927,-28.48414307,9.012566376,-12.71002197,-20.11902313,-17.77322235,7.315229797,8.938053894,12.09618454,7.015350342,6.358612442,-15.62044678,-28.49112549,-26.35221558,-20.33148499,-26.41748047,-24.72012787,-28.55691223,-27.37930298,8.407259369,-15.65067596,12.20274963,10.31720123,-26.46280212,9.003859711,-24.77301025,-20.18222046,10.09927216,9.871995544,-30.6084259,-17.22817535,-20.20773315,9.753323364,-17.737323,8.873547363,-23.30152893,-30.61910706,-23.33190765,-10.47214508,-10.98994217,6.332947159,-20.33770142,10.91603928,-26.37293091,10.605867,-16.93859711,10.53661728,8.900324249,9.79978714,-10.93546524,9.814533234,8.571876526,-22.48890076,-24.29888153,-20.16760864,8.908757782,4.915561295,9.773493195,9.795514679,7.248855591,9.021502686,9.017674255,9.697470856,10.50073242,10.71820602,10.87096863,-23.41924896,10.35126266,10.40392914,7.974330902,-17.29606171,6.987778473,8.399166107,-22.46619568,6.960871124,-33.37008362,-15.61575623,10.16457443,4.899070358,8.538894653,-12.62437439,-26.40646667,-20.37500916,-30.57527466
X Zygo ant edge top DCUR 3,4.709716797,6.984703827,-5.882271194,10.19813232,5.52983017,6.462165833,6.464526367,-10.53976364,6.819495392,8.034037781,7.309420013,-14.17195129,1.89610157,3.149808884,10.20271454,-6.762696075,3.680550003,6.445747375,8.133444214,-14.18868256,19.86741791,5.887741089,5.52223587,3.859169388,-3.889335632,0.522004843,0.468554831,-3.978790283,-4.725247574,3.257543564,8.884400177,7.318616486,-3.977187347,-5.284989166,-13.37839966,-13.28211823,-4.734017563,-10.75270691,6.818811798,0.499465561,-5.84226799,-5.919936752,5.552230072,6.457794189,3.863509369,10.49379959,5.570965958,8.552360535,-10.81303177,-14.31546478,-5.872472,-14.465802,-6.754347229,-10.78795166,-14.13535156,8.10878067,8.646031952,3.856219482,5.930611038,-10.48931274,10.20063019,-6.764705658,-5.849008942,8.101835632,9.196032715,-4.085829163,-5.211984634,8.925251007,3.681371689,-5.914167786,4.714157104,-12.04054489,-4.081359482,-12.0393074,3.343516159,19.91731415,5.564259338,-4.025310516,5.901770401,-10.44876251,6.142657471,-3.99761734,6.124035645,4.728926849,7.001809692,19.90692139,9.194424438,6.842572021,0.426256609,-13.3657196,8.949073029,6.539783478,1.892314911,9.218779755,3.673783112,5.537222672,6.803050232,6.834772491,7.030142975,6.14657402,7.31211319,5.862395096,-12.06319046,5.97820015,5.938912582,6.503973389,-5.303444672,10.49936142,8.100619507,0.428819132,10.49384918,-4.729720688,8.668688965,8.119805908,1.917522621,6.800911713,0.507385874,-14.45498657,-4.014645767,-4.077173996
